agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_name_length,start_point,end_point,is_urban
BMTC,#FFFFFF,Not Available,YBS-BEL,Yeshwanthpur TTMC - BEL Office,BR4249,0,3,30,Yeshwanthpur TTMC,BEL Office,0
BMTC,#FFFFFF,Not Available,401KA,Ramasandra - Yelahanka,BR2194,0,3,22,Ramasandra,Yelahanka,0
BMTC,#FFFFFF,Not Available,V-KBS-SRN,Kempegowda Bus Station - Suryanagar,BR4187,0,3,35,Kempegowda Bus Station,Suryanagar,0
BMTC,#FFFFFF,Not Available,335AA,Kempegowda Bus Station - Kadugodi,BR1715,0,3,33,Kempegowda Bus Station,Kadugodi,0
BMTC,#FFFFFF,Not Available,HBL-MEBP,Hebbala - Manyatha Embasy Business Park,BR3378,0,3,39,Hebbala,Manyatha Embasy Business Park,0
BMTC,#FFFFFF,Not Available,271TA,Kempegowda Garden - Kempegowda Bus Station,BR1030,0,3,42,Kempegowda Garden,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,401KC,Kengeri TTMC - Devasandra,BR2196,0,3,25,Kengeri TTMC,Devasandra,0
BMTC,#FFFFFF,Not Available,401KB,Kengeri TTMC - Yeshwanthpura,BR2195,0,3,28,Kengeri TTMC,Yeshwanthpura,0
BMTC,#FFFFFF,Not Available,KMT-WLFR,Krishnarajendra Market - Walker Land Long Fora Road,BR3626,0,3,51,Krishnarajendra Market,Walker Land Long Fora Road,1
BMTC,#FFFFFF,Not Available,VNC-BMT43,Vinayakanagara Cross D-43 - BMT-43,BR4204,0,3,34,Vinayakanagara Cross D-43,BMT-43,0
BMTC,#FFFFFF,Not Available,KBS-MEICL,Kempegowda Bus Station - MEI Colony,BR3550,0,3,35,Kempegowda Bus Station,MEI Colony,0
BMTC,#FFFFFF,Not Available,HAL-ELC,HAL Main Gate - Electronic City,BR3359,0,3,31,HAL Main Gate,Electronic City,0
BMTC,#FFFFFF,Not Available,306MA,Tin Factory - Jayamangala,BR1447,0,3,25,Tin Factory,Jayamangala,0
BMTC,#FFFFFF,Not Available,KNR-SMH,Kamalanagar BEML layout - Summanahalli Magadi Road,BR3631,0,3,50,Kamalanagar BEML layout,Summanahalli Magadi Road,0
BMTC,#FFFFFF,Not Available,BMT11-BGLC,Depot 11 - Bagaluru Cross,BR2721,0,3,25,Depot 11,Bagaluru Cross,0
BMTC,#FFFFFF,Not Available,D41-GJR,Depot-41 - Ganjoor,BR3235,0,3,18,Depot-41,Ganjoor,0
BMTC,#FFFFFF,Not Available,317VVV,Hosakote Bus Stand - Maratahalli,BR1568,0,3,32,Hosakote Bus Stand,Maratahalli,0
BMTC,#FFFFFF,Not Available,BTTS-KRM,Bittasandra - Krishnarajendra Market,BR2819,0,3,36,Bittasandra,Krishnarajendra Market,1
BMTC,#FFFFFF,Not Available,BIGBLUE-3,Peenya 2nd stage - Electronic City Wipro Gate,BR2689,0,3,45,Peenya 2nd stage,Electronic City Wipro Gate,0
BMTC,#FFFFFF,Not Available,338,Krishnarajendra Market - Munnekolalu,BR1736,0,3,36,Krishnarajendra Market,Munnekolalu,1
BMTC,#FFFFFF,Not Available,347A,Kempegowda Bus Station - Chikkabegur,BR1834,0,3,36,Kempegowda Bus Station,Chikkabegur,0
BMTC,#FFFFFF,Not Available,HBL-AIT,Hebbala - Dr Ambedkar Institute Of Technology,BR3371,0,3,45,Hebbala,Dr Ambedkar Institute Of Technology,0
BMTC,#FFFFFF,Not Available,347C,Krishnarajendra Market - Chikkabegur,BR1836,0,3,36,Krishnarajendra Market,Chikkabegur,1
BMTC,#FFFFFF,Not Available,347B,Kempegowda Bus Station - Kudlu,BR1835,0,3,30,Kempegowda Bus Station,Kudlu,0
BMTC,#FFFFFF,Not Available,347E,Kempegowda Bus Station - Somasundarapalya,BR1838,0,3,41,Kempegowda Bus Station,Somasundarapalya,0
BMTC,#FFFFFF,Not Available,347D,Krishnarajendra Market - Somasundarapalya,BR1837,0,3,41,Krishnarajendra Market,Somasundarapalya,1
BMTC,#FFFFFF,Not Available,332,Krishnarajendra Market - Balgere,BR1689,0,3,32,Krishnarajendra Market,Balgere,1
BMTC,#FFFFFF,Not Available,346V,Kempegowda Bus Station - DODDANAGAMANGALA,BR1832,0,3,41,Kempegowda Bus Station,DODDANAGAMANGALA,0
BMTC,#FFFFFF,Not Available,BMW-YLKOT,Bommawara - Yelahanka Old Town,BR2776,0,3,30,Bommawara,Yelahanka Old Town,0
BMTC,#FFFFFF,Not Available,333,Kempegowda Bus Station - Maratahalli Bridge,BR1690,0,3,43,Kempegowda Bus Station,Maratahalli Bridge,0
BMTC,#FFFFFF,Not Available,330,Shivajinagar Bus Station - Maratahalli Bridge,BR1674,0,3,45,Shivajinagar Bus Station,Maratahalli Bridge,1
BMTC,#FFFFFF,Not Available,331,Shivajinagar Bus Station - Kadugodi,BR1685,0,3,35,Shivajinagar Bus Station,Kadugodi,1
BMTC,#FFFFFF,Not Available,Depo-13-ANG,Depot-13-BS - Avalahalli Nandi Garden,BR3241,0,3,37,Depot-13-BS,Avalahalli Nandi Garden,0
BMTC,#FFFFFF,Not Available,336,Krishnarajendra Market - Panathuru,BR1732,0,3,34,Krishnarajendra Market,Panathuru,1
BMTC,#FFFFFF,Not Available,337,Krishnarajendra Market - Doddanekkundi,BR1735,0,3,38,Krishnarajendra Market,Doddanekkundi,1
BMTC,#FFFFFF,Not Available,BMT14-GHL,BMT14 - Gangenahalli,BR2734,0,3,20,BMT14,Gangenahalli,0
BMTC,#FFFFFF,Not Available,335,Krishnarajendra Market - Sai Baba Hospital,BR1713,0,3,42,Krishnarajendra Market,Sai Baba Hospital,1
BMTC,#FFFFFF,Not Available,347N,Subhash Nagara - Kempegowda Bus Station,BR1845,0,3,39,Subhash Nagara,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,CR 45D,Chennamma kere Achukattu - Kempegowda Bus Station,BR2880,0,3,49,Chennamma kere Achukattu,Kempegowda Bus Station,0
BMTC,#FFFFFF,Not Available,KMT-TRDHS,Thoredoddi High School - Krishnarajendra Market,BR3625,0,3,47,Thoredoddi High School,Krishnarajendra Market,1
BMTC,#FFFFFF,Not Available,347F,Kempegowda Bus Station - Central Jail,BR1839,0,3,37,Kempegowda Bus Station,Central Jail,0
BMTC,#FFFFFF,Not Available,RKH-ITPL,Ramakrishna Hegde Nagara - ITPL,BR3904,0,3,31,Ramakrishna Hegde Nagara,ITPL,0
